# DAY, BCHAIN/MKPRU, BCHAIN/MWNTD, BCHAIN/AVBLS, BCHARTS/KRAKENEUR, BCHAIN/NTRBL, BCHAIN/ETRAV, BCHAIN/MKTCP, BCHAIN/TRFUS, BCHAIN/HRATE, BCHARTS/BITSTAMPUSD, BCHAIN/DIFF, BCHAIN/MIREV, BCHAIN/ATRCT, BCHAIN/CPTRA, BCHAIN/NTREP, BCHAIN/NADDU, BCHAIN/TOTBC
24.00000000,2090.66231250,64732.00000000,0.96680040,1801.72900000,2245.67123288,425013.92921800,34173338961.40000153,850142.83005400,4064100.39426000,2017.55000000,559970892890.00000000,4499105.29650000,11.36666667,14.23012173,318975.00000000,604610.00000000,16345700.00000000
25.00000000,2287.71028750,64140.00000000,0.97868517,1849.01800000,2188.75000000,448744.85299900,37399030238.00000000,1071525.90824000,4976737.78165000,2088.76000000,584152236545.00000000,5668946.09242000,10.76666667,15.97921599,354151.00000000,687290.00000000,16347800.00000000
26.00000000,2379.19383333,73964.00000000,0.97054817,1992.71400000,2198.97402597,450541.37638900,38899164896.69999695,1125215.97177000,4562009.63318000,2265.90000000,595921917085.00000000,5524488.08100000,18.00000000,16.84718405,327095.00000000,631835.00000000,16349725.00000000
27.00000000,2387.20628571,60627.00000000,0.97687577,2117.97700000,2147.93865031,506576.47791600,39035030222.50000000,1190928.11237000,4828620.58577000,2420.29000000,595921917085.00000000,5871333.85971000,11.70000000,17.29396973,343608.00000000,659055.00000000,16351762.50000000
28.00000000,2211.97685714,54405.00000000,0.95877527,1984.56400000,2178.69281046,427853.65763300,36173950629.19999695,1039178.43180000,4532386.19400000,2277.01000000,595921917085.00000000,5119620.43586000,15.36666667,15.80843634,328442.00000000,641520.00000000,16353675.00000000
29.00000000,2014.05296250,79411.00000000,0.99146092,1973.33300000,1975.67857143,320932.55895400,32941397092.70000076,1065087.24195000,4976737.78165000,2280.70000000,595921917085.00000000,5121736.68364000,17.00000000,15.95171780,327292.00000000,651462.00000000,16355775.00000000
30.00000000,2192.98080000,51346.00000000,0.97798214,1793.00200000,1867.53333333,236729.17066900,35872423567.00000000,924308.57829900,4887867.46412000,2042.89000000,595921917085.00000000,5262057.42960000,9.78333333,17.67793355,300226.00000000,592662.00000000,16357837.50000000
31.00000000,2275.93070000,67211.00000000,0.97790074,1895.32100000,2130.05298013,252272.09723400,37233600371.09999847,1126368.15301000,4473139.31565000,2172.54000000,595921917085.00000000,5260813.81305000,10.71666667,16.85804336,317854.00000000,594355.00000000,16359725.00000000
32.00000000,2239.20534286,72491.00000000,0.98060312,2040.00000000,1943.91620112,399669.58091800,36637793849.59999847,1317521.33148000,5302595.61259000,2290.18000000,595921917085.00000000,6132063.83141000,13.92500000,18.18520836,342419.00000000,634488.00000000,16361962.50000000
33.00000000,2285.93391429,70453.00000000,0.97669645,1912.47000000,1961.18292683,373509.98690100,37407051147.50000000,1303942.09055000,4858244.02495000,2201.70000000,595921917085.00000000,5808558.07620000,16.82500000,18.62398445,316863.00000000,614126.00000000,16364012.50000000
34.00000000,2399.24267143,70707.00000000,0.97774664,2047.96800000,1880.64117647,394084.67517900,39266335456.50000000,1365337.13516000,5035984.66001000,2298.01000000,595921917085.00000000,6245228.67373000,15.07500000,20.21753473,314252.00000000,610354.00000000,16366137.50000000
35.00000000,2446.14241429,56128.00000000,0.98198862,2124.06400000,1859.85616438,296956.94054600,40038367306.69999695,1150058.57723000,4325022.11977000,2413.58000000,595921917085.00000000,5437774.58696000,12.76666667,20.67573528,266135.00000000,534561.00000000,16367962.50000000
36.00000000,2525.76515847,66148.00000000,0.98105246,2218.04300000,1590.20833333,324123.98086800,41347691234.00000000,1378176.82264000,5687700.32189000,2488.94000000,595921917085.00000000,7190853.40616000,11.03333333,24.36791957,294660.00000000,601583.00000000,16370362.50000000
37.00000000,2516.17314286,60758.00000000,0.98235867,2266.85800000,1652.44720497,249413.35979800,41195730259.80000305,1112132.31382000,5432357.04185000,2538.10000000,628336862171.00000000,5967104.60829000,16.57500000,23.21394493,261135.00000000,537387.00000000,16372375.00000000
38.00000000,2698.31381250,62587.00000000,0.96443012,2245.00000000,1767.86585366,295172.70586200,44183337149.19999695,1282881.03523000,5533581.08611000,2530.27000000,678760110082.00000000,6586584.01631000,10.80000000,23.50368831,284508.00000000,576032.00000000,16374425.00000000
39.00000000,2883.31369664,64286.00000000,0.99004440,2389.14900000,1969.64238411,307402.77109900,47218046131.69999695,1474348.25010000,5094943.56099000,2698.00000000,678760110082.00000000,6705146.00153000,16.92500000,23.25565152,291156.00000000,617593.00000000,16376312.50000000
40.00000000,2664.92086250,78436.00000000,0.99212286,2548.03300000,2058.90909091,331375.38349000,43647073231.30000305,1780519.03189000,5567322.43419000,2875.71000000,678760110082.00000000,7060707.82519000,19.30000000,21.42034120,334120.00000000,657364.00000000,16378375.00000000
41.00000000,2792.99918750,76681.00000000,0.96981421,2411.72200000,1862.89090909,290137.13023300,45750548628.40000153,1371335.90390000,5567322.43419000,2680.24000000,678760110082.00000000,6905690.49109000,17.05000000,23.20244107,300955.00000000,609712.00000000,16380437.50000000
42.00000000,2827.49130000,62317.00000000,0.97354009,2508.23100000,1868.76821192,240141.37976100,46320881411.30000305,1288092.36053000,5094943.56099000,2805.46000000,678760110082.00000000,6408509.03145000,15.62500000,23.47752597,276088.00000000,571964.00000000,16382325.00000000
43.00000000,2845.37285714,56896.00000000,0.96645524,2531.86000000,1808.46099291,235847.89724800,46618837861.59999847,1112267.72553000,4757530.08013000,2818.00000000,678760110082.00000000,5916952.85643000,16.07500000,24.02904153,249580.00000000,516474.00000000,16384087.50000000
44.00000000,2961.82961250,50089.00000000,0.94547484,2508.94900000,1526.65753425,221919.00747600,48532280870.30000305,1054767.50141000,4926236.82056000,2899.01000000,678760110082.00000000,6255384.14160000,15.40000000,28.98312431,218769.00000000,467561.00000000,16385912.50000000
45.00000000,2657.67506250,49682.00000000,0.96759467,2599.78600000,1830.59863946,316030.55631800,43553314505.50000000,1089286.31861000,4959978.16864000,2954.23000000,678760110082.00000000,5779114.42341000,13.50000000,22.19549847,263515.00000000,538624.00000000,16387750.00000000
46.00000000,2748.18508571,57404.00000000,0.97714794,2324.56000000,2069.33333333,308894.41280600,45041413814.59999847,1317589.24306000,4757530.08013000,2656.97000000,678760110082.00000000,5967683.91363000,11.43333333,21.11642307,284404.00000000,611325.00000000,16389512.50000000
47.00000000,2447.04156250,64458.00000000,0.96935629,2399.02800000,2054.60000000,307843.12245500,40110100599.30000305,1112772.56445000,4723788.73204000,2705.99000000,678760110082.00000000,5217092.61125000,12.55000000,18.75615448,281987.00000000,565868.00000000,16391262.50000000
48.00000000,2442.48025000,73585.00000000,0.99438382,2205.52700000,1915.95424837,299371.01404500,40040006172.30000305,1063464.34638000,5162426.25716000,2451.42000000,678760110082.00000000,5540766.44712000,11.13333333,19.56296739,286986.00000000,577610.00000000,16393175.00000000
49.00000000,2464.95981429,60521.00000000,0.98308805,2163.27100000,1823.89864865,253325.07100200,40413077779.19999695,925226.10678400,4993719.51673000,2424.96000000,678760110082.00000000,5304593.52034000,15.70000000,20.32104440,262448.00000000,536165.00000000,16395025.00000000
50.00000000,2665.92700000,57747.00000000,0.98570532,2213.88800000,1631.40689655,201087.12132000,43712771805.90000153,830165.18688300,5129905.64430000,2484.68000000,679668719409.00000000,5461151.45950000,9.66666667,23.93600562,232337.00000000,477378.00000000,16396837.50000000
